,season,episode,character,line
0,11,8,Eric Cartman,[picks out a figure] Big Ring Slammer. Comes with posable neck-smash grip. [moves the package around with his left hand and strokes his chin with his right] That's pretty kewl. Let's see...
1,11,8,Teen Boy,Cock! [Cartman is startled.]
2,11,8,Eric Cartman,[puts the Slammer back on the rack and selects another figure.] The Black Jackal. Karate Kick Panel Force and bendable neck-
3,11,8,Teen Boy,"Asshole! Cock! Asshole, shit, shit cock! [his neck and face get taut as he blurts this out]"
4,11,8,Clerk,"[nearby] Ma'am, is that your son over there?"
5,11,8,Mom,"Yes, I'm sorry. My son has Tourette's Syndrome."
6,11,8,Clerk,Tourette's Syndrome?
7,11,8,Mom,It's a neurological disorder. He-he can't control what he says.
8,11,8,Clerk,Oh...
9,11,8,Teen Boy,"[turns his head hard to the left, his eyes shut] Shiit! [turns his head back to face forward] Dumb shiiit!"
10,11,8,Mom,"[goes to take her son home] A-alright Thomas, maybe we should go?"
11,11,8,Thomas and his mom,All right Mom- Bitch! Ass bitch!
12,11,8,Mom,"Here, let's buy you a nice toy to take home. [selects a figure and hands it to Thomas, who walks away with her, smiling. Cartman watches as they leave]"
13,11,8,Eric Cartman,"[turns around and walks off, saying softly] Dude, that mom is kewl. [he arrives at the checkout line with his action figure]"
14,11,8,Thomas and his mom,[stands in line behind Cartman] Cocknut! Augh... Stupid shit!
15,11,8,Eric Cartman,[turns around and glares at Thomas] Are you talkin' to me?!
16,11,8,Thomas and his mom,No. Cocknose!
17,11,8,Eric Cartman,"What's your problem, kid?!"
18,11,8,Mom,"Oh, a-I'm sorry. [Thomas backs away a bit] My... son Thomas has Tourette's Syndrome. [a crowd begins to gather around them]"
19,11,8,Eric Cartman,What?
20,11,8,Thomas and his mom,"Mom, let's just go. Shhhit!"
21,11,8,Mom,People with Tourette's can't control certain tics. It's it's like a sneeze.
22,11,8,Thomas and his mom,Asshole ASSHOLE.
23,11,8,Eric Cartman,[waves his arms around] Wait waitwait whoa whoa whoa. You're telling me there's an illness that makes you blurt out obscenities?
24,11,8,Thomas and his mom,"Mom, can we just go home, please?"
25,11,8,Mom,"It's okay, Thomas. They understand."
26,11,8,Thomas and his mom,"I want tuh go! [throws down his action figure and walks off, his hands over his mouth] Shitfag!"
27,11,8,Man 1,Poor kid.
28,11,8,Clerk,Yeah.
29,11,8,Eric Cartman,"[turns around and faces the crowd] All right, hold on just a second here: Are you telling me that if you have this Tourette's Syndrome you can say whatever you want, all the time, and never get in trouble?"
30,11,8,Clerk,It's a neurological disorder; he can't help it.
31,11,8,Man 1,"Yeah! [Cartman blinks - CHING! He begins to think: ""I've got a golden ticket... I've got a golden""]"
32,11,8,Eric Cartman,Twinkle in my eye. [turns and heads for the entrance] haha. HahaHAAhahahaha. [throws his action figure into the air and runs out the door]
33,11,8,Clerk,Hey don't you wanna buy that toy?
34,11,8,Eric Cartman,I don't need the toy! I've found something better! [dances away] 'Cause I've got a golden ticket! I've got a golden chance to make my way!
35,11,8,Liane Cartman,"It started about four days ago, Doctor, and every day he seems to get worse."
36,11,8,Eric Cartman,Puh- pussy!
37,11,8,Liane Cartman,Oh...
38,11,8,Eric Cartman,Pussy! Cock! Shit! [covers his mouth in faking embarrassment]
