,season,episode,character,line
0,14,2,Mr Garrison,"Okay kids, let's take our seats. [sets the box down on the desk] There has been a change in school policy, and so I'm assigning you all a book to read."
1,14,2,Eric Cartman,"[sarcastically, folds his arms together] Aww, books? God, I hate those!"
2,14,2,Mr Garrison,"Now, kids, this book is very controversial and has just been taken off the banned books list. [the book in question is J.D. Salinger's The Catcher In The Rye]"
3,14,2,Eric Cartman,Oh really? Sweet.
4,14,2,Mr Garrison,"It's called The Catcher In The Rye, and it has some very... risqué parts... [begins handing out the books individually]"
5,14,2,Stan Marsh,All right!
6,14,2,Mr Garrison,...and strong vulgar language...
7,14,2,Kenny McCormick,"(Awesome, dude!)"
8,14,2,Mr Garrison,...and in fact many schools across the country still ban this book because it's thought to be so inappropriate.
9,14,2,Eric Cartman,"Oho man, I can't wait!"
10,14,2,Mr Garrison,"Tonight I want you to read chapters one through five, and tomorrow we'll discuss the-"
11,14,2,Eric Cartman,"No on, come on, let's read it now!"
12,14,2,Kyle Broflovski,"Mr. Garrison, didn't the guy who shot John Lennon say it was because of this book?"
13,14,2,Mr Garrison,"Uh-yes, apparently John Lennon's killer said he was inspired by The Catcher In The Rye, but he was just a kook! [jabs his left index finger at the floor]"
14,14,2,Eric Cartman,"Whoa, you're telling us this book is filthy, inappropriate, and made a guy shoot the king of hippies? Can we please read this right now?!"
15,14,2,Mr Garrison,"You will read it at home, [jabs his left index finger at the floor again, then puts his palms on his hips] and you will all be mature about its adult themes and language!"
16,14,2,Class,Awww!
17,14,2,Stan Marsh,Did you get to any dirty parts yet?
18,14,2,Kyle Broflovski,"No, it's still just some whiny, annoying teenager talking about how lame he is."
19,14,2,Stan Marsh,"[turns the page] I don't get it dude, w-what's so controversial about this? All he's done is said ""shit"" and ""fuck"" a few times."
20,14,2,Kyle Broflovski,I know. I'm almost at the end and there's nothing. [the door opens and a pissed-off Cartman enters and closes the door]
21,14,2,Eric Cartman,"Motherfucker! [Kyle turns around to face him, Stan stands up and walks up to him] The whole thing! I read the whole fucking thing! I kept thinking, ""alright, I guess the cool offensive stuff must be coming,"" and then after like a hundred pages I was like ""alright, I guess all the dirty stuff is at the end,"" and then I got to the last page, and I was all ""the fuck is this?! I just read a book! For nothing!"""
22,14,2,Kyle Broflovski,[picks up his book] Why the hell was this book banned?!
23,14,2,Eric Cartman,"They fucking tricked us, that's what they did! Tricked us into reading a book by, enticing us with promises of vulgarity! [the door opens again and Kenny enters with his book]"
24,14,2,Kenny McCormick,"(Dude, what the fuck is so filthy or offensive in here?)"
25,14,2,Eric Cartman,"We know, we were just saying that."
26,14,2,Stan Marsh,Why would anyone think this book so obscene or dangerous?
27,14,2,Butters Stotch,"Kill John Lennon... [leaves his chair and walks across the kitchen] Kill John Lennon... Kill John Lennon... [reaches into a bottom drawer and pulls out a large steak knife] Kill John Lennon! [walks by his dad's study and stops to look in] Hey dad, where does John Lennon live?"
28,14,2,Stephen Stotch,"John Lennon's dead, Butters."
29,14,2,Butters Stotch,[lowers the knife instantly] Aww. Dangit. [drops it and walks away]
30,14,2,Kyle Broflovski,"Dude, some people really do consider this obscene."
31,14,2,Eric Cartman,"It's not obscene, dude! I'll show them fucking obscene!"
32,14,2,Stan Marsh,"Hey yeah, we should write our own banned book. [Kyle breaks into a grin]"
33,14,2,Eric Cartman,"Yeah, we could get a book banned way more than this one."
34,14,2,Kyle Broflovski,"Yeah, sweet."
35,14,2,Kenny McCormick,(Awesome.)
36,14,2,Kyle Broflovski,"[starts typing] The Tale of... [can't think of anything, so his smile disappears]"
37,14,2,Eric Cartman,The Tale of... Scrotie McDickinass.
38,14,2,Kenny McCormick,"(No, No, Scrotie McBoogerballs)"
39,14,2,Kyle Broflovski,"Oh that's, [giggles] yeah that's good, that's good. Alright, chapter... one..."
