,season,episode,character,line
0,15,1,Eric Cartman,"Oh my God, isn't it awesome having an iPad, you guys? [Bebe walks by, and Cartman jumps up to approach her] Hey Bebe, where's your iPad? Oh right, you're not cool enough! [laughs at her, and she walks off disgusted. Token walks by] Hey, hey, did you see my iPad, Token? Funny, you don't seem to have one! I thought your family was rich! [Token walks on, but is puzzled by Cartman's behavior. Cartman sees four kids playing four-square and jeers at them] Haha! You dumbasses have to play four-square 'cause you don't have iPads! [checks his iPad and starts pacing] Oh, what should I do on my iPad next? Think I'll email some of my friends. Oh no, wait! Maybe I'll download some more cool apps! [smiles. Craig comes up behind him] This is so awesome! [Craig taps him on the shoulder and Cartman turns around]"
1,15,1,Craig Tucker,Tom Saltzman says you don't really have an iPad.
2,15,1,Eric Cartman,[stares at him for a second] What?
3,15,1,Craig Tucker,"Tom Saltzman says you just glued a piece of glass to an iPad cover and you're faking it. [Cartman looks at him, then looks around to see if anyone is within earshot]"
4,15,1,Eric Cartman,Tom Saltzman's dad is an alcoholic who drinks and drives! [looks around again]
5,15,1,Stan Marsh,"Let me see your iPad, Cartman."
6,15,1,Eric Cartman,"Seriously you guys! Tom Saltzman's dad is a drunk driver. He's the one who ran over Joey Potts's dog because Joey Potts doesn't know how to take care of his animals, which is why he gets beat by his mom! [Craig looks off into the distance, surprised]"
7,15,1,Kyle Broflovski,"Just let us see your iPad, Cartman."
8,15,1,Eric Cartman,"No, because the battery is dead; it just ran out of power!"
9,15,1,Kyle Broflovski,"So, plug it in."
10,15,1,Eric Cartman,"I left my charger at home! [the boys are still waiting] Fine! I'm gonna go home and charge my iPad and bring it tomorrow, and you guys are gonna feel really stupid! [walks away angrily]"
11,15,1,Eric Cartman,"Well good going, Mom! You completely screwed me over!"
12,15,1,Liane Cartman,"[reading a book on the sofa, with her legs tucked under a blanket] What happened, Eric?"
13,15,1,Eric Cartman,"YOU said I had to wait till my birthday to get an iPad! So the one I rubbed in everyone's faces today isn't real and tomorrow everyone's gonna call me a liar. Would you mind loaning me some of your lipstick, Mom? Because I wanna at least look pretty the next time you decide to FUCK me!"
14,15,1,Kyle Broflovski,"You see? And then I can take all my homework on my iPad, and swipe it over to my iPhone."
15,15,1,Man,"Oh. Yeah, Apple's stuff is pretty neat alright. I just don't want any big company tracking where I am at all times. [walks off with his tray]"
16,15,1,Kyle Broflovski,"Aw, that's just a rumor. They don't really track y- [the doors fly open and three men rush in]"
17,15,1,Apple Man 1,"There he is! [The men approach him] Hello Kyle, we're from Apple. We're all ready for you now. [a second man pulls out a scale and sets it on the floor]"
18,15,1,Kyle Broflovski,What? Ready for what?
19,15,1,Apple Man 1,To fulfill the agreement. Can we get a weight please? [the third man lifts Kyle up and puts him on the scale]
20,15,1,Apple Man 2,"83 pounds, sir."
21,15,1,Kyle Broflovski,"What ""agreement""?!"
22,15,1,Apple Man 1,"83 pounds, good. Let's get the bloodwork."
23,15,1,Kyle Broflovski,"Hey! You can't do that! [the second man pulls out a tape measure to measure the circumference of Kyle's head, the third man prepares to take Kyle's blood]"
24,15,1,Apple Man 1,You agreed we could take all the blood we needed.
25,15,1,Kyle Broflovski,What are you talking about?!
26,15,1,Apple Man 1,"When you downloaded the last iTunes update a window on your screen popped up and asked you if you agreed to our terms and conditions. You clicked ""Agree."" Alright, let's get him to the water tank."
27,15,1,Kyle Broflovski,The water tank? [gets off the scale and away from the men] Hey I'm not going with you!
28,15,1,Apple Man 1,You've agreed to all of this! [Kyle runs out of the restaurant] Hey!
29,15,1,Kyle Broflovski,[off-camera] You guys! [runs onto the basketball court] You gotta help me. These business casual G-men are trying to kidnap me!
30,15,1,Stan Marsh,What?
31,15,1,Kyle Broflovski,"It's crazy, dude! They're saying it's because I agreed to the latest terms and conditions on iTunes!"
32,15,1,Stan Marsh,Why? What did the terms and conditions for the last update say?
33,15,1,Kyle Broflovski,"I don't know, I didn't read them!"
34,15,1,Butters Stotch,You didn't read them?
35,15,1,Kyle Broflovski,Who the hell reads that entire thing every time it pops up?
36,15,1,Stan Marsh,[earnestly] I do.
37,15,1,Clyde Donovan,Me too.
38,15,1,Kyle Broflovski,"You're telling me that every time you guys download an update for iTunes, you read the entire terms and conditions?"
39,15,1,Jimmy Valmer,Of course.
40,15,1,Butters Stotch,"Well, how do you know if you agree to something if you don't read it?"
41,15,1,Kyle Broflovski,"Well, I turned off all my Apple stuff. They can't locate you if you don't have your stuff on, right? [at that moment two limousines pull up and men begin pouring out of them]"
42,15,1,Apple Man 1,There he is. Hey you!
43,15,1,Kyle Broflovski,Gahhh! [runs away]
44,15,1,Kyle Broflovski,"Dad! Dad, I need a lawyer!"
45,15,1,Gerald Broflovski,Kyle? What are you doing here?
46,15,1,Kyle Broflovski,"Dad, if you agree to something but you didn't mean to agree to it, what do you do?!"
47,15,1,Gerald Broflovski,"Well, Kyle, it's always the agreeing party's responsibility to know what they are signing."
48,15,1,Kyle Broflovski,But it's like eight pages long and they send me a new one like every three weeks! How can they know if I-
49,15,1,Gerald Broflovski,"Calm down, Kyle! It's okay. You're safe with Daddy. [the office window slides up and one of the Apple G-Men looks in]"
50,15,1,Apple Man 1,Here he is!
51,15,1,Kyle Broflovski,AAHH!
52,15,1,Apple Man 1,Come on you!
53,15,1,Gerald Broflovski,"Hey, what the heck is going on?"
54,15,1,Apple Man 1,"Your son has made a binding and legal agreement with Apple, sir."
55,15,1,Gerald Broflovski,An agreement to do what?!
56,15,1,Apple Man 1,Apple's inner workings are top secret to all users. You know how it is.
57,15,1,Gerald Broflovski,"No, I don't know how it is. I use a PC."
58,15,1,Apple Man 1,[chuckles] You what?
59,15,1,Apple Man 4,"Come on, let's go!"
60,15,1,Gerald Broflovski,"Hey now, let him go! [Apple Man 1 tasers him and he goes down in pain]"
61,15,1,Kyle Broflovski,Dad! You tasered my dad!
62,15,1,Apple Man 1,You said we could.
63,15,1,Eric Cartman,"Okay, WiFi+3G, 64 gigs. This one, this one!"
64,15,1,Liane Cartman,"Oh, sweetie, $900?"
65,15,1,Eric Cartman,I can't wait to see the look on Kyle's stupid face when he sees my iPad has more memory than his!
66,15,1,Liane Cartman,"Eric, we can't afford that one."
67,15,1,Eric Cartman,"Well you don't expect me to get the WiFi-only 16-gig version, do you?"
68,15,1,Liane Cartman,"I think we need to get you a different brand, hon. They're a little cheaper."
69,15,1,Eric Cartman,"Mom, everyone knows that everything but Apple is stupid!"
70,15,1,Liane Cartman,"[sees something interesting] Here, look at this one. Toshiba Handibook."
71,15,1,Eric Cartman,Toshiba Handibook??
72,15,1,Liane Cartman,"This says it does everything the iPad does, at half the price!"
73,15,1,Eric Cartman,"Mom, do not screw me over again! If I take that thing to school, everyone is gonna think I'm a poverty-stricken asshole!"
74,15,1,Liane Cartman,"Eric, stop acting like a spoiled brat! You can either have the Toshiba Handibook or you can have nothing at all!"
75,15,1,Eric Cartman,"[looks at her for a second] Oh, I've got a better idea! Why don't you go across the street and buy some condoms?! Because we should at least be safe if you're gonna fuck me, Mom!"
76,15,1,Liane Cartman,[sternly] Eric!
77,15,1,Eric Cartman,"You might as well go buy some cigarettes too, because I like to have a smoke after I get good and fucked! Do you wanna fuck me Mom?! [everyone is now staring at the two of them] Just say so! Go ahead! Here! [pulls down his pants to moon his mom, who puts her hands over her mouth] Huh?! Go ahead, Mom! Fuck me! Fuck me right here in the Best Buy! You wanna fuck your son so bad?! Go on Mom! Fuck me! Fuck me!"
78,15,1,Liane Cartman,"Stop crying, Eric! I told you if you kept acting up, you weren't getting anything!"
79,15,1,Eric Cartman,[sniffles] But I told you I was sorry.
80,15,1,Liane Cartman,You made me look like some sort of child molester in front of all those PEOPLE!
81,15,1,Eric Cartman,I wasn't trying to get you in trouble.
82,15,1,Liane Cartman,"Then why did you go outside to a police officer and say ""Help! Help! My mom is trying to fuck me!""?!"
83,15,1,Eric Cartman,"[looks around for something to come back with] Oh wait, I get it now! The F-word is a no-no word, and I shouldn't say it around other people. I'm sorry Mama."
84,15,1,Liane Cartman,"If you're really sorry, then you'll understand why you aren't getting ANYTHING!!"
85,15,1,Eric Cartman,"[sniffles] Well, now that doesn't really have any logical sense, Mommy, because I'm already being punished by not getting the iPad. Mama. Please, can we just go back and get the Toshiba Handibook?"
86,15,1,Liane Cartman,NO!!
87,15,1,Eric Cartman,Well then can we at least pull up here and get some dinner? 'Cause I like to be wined and dined after I've been FUCKED! [bangs at the dashboard with his fists]
88,15,1,Woman,What are you going to do to us??
89,15,1,Kyle Broflovski,What is this? What's going on?
90,15,1,Woman,You... You agreed to the iTunes terms and conditions too??
91,15,1,Kyle Broflovski,...What?
92,15,1,Woman,"I just clicked ""Agree."" I didn't read it! I was in a hurry, you see, and I, I, I didn't know what I was agreeing to!"
93,15,1,Junichi Takiyama,(In Japanese Accent) I can't even read Engrish!
94,15,1,Guard,"[a small window slides open above Kyle and the guard looks in] Hey, shut up in there! You all agreed to stay quiet!"
95,15,1,Kyle Broflovski,"Hey! Hey, let me out of here! This is a mistake! I agreed by accident!"
96,15,1,Guard,"You can't agree by accident. There's a fail-safe built in. Even if you click on ""Agree"" another little window pops up that says ""Are you sure you agree?"" and you have to click on ""Agree"" again."
97,15,1,Woman,"Uh, what are you going to do to us??"
98,15,1,Guard,Everything that you agreed to in the iTunes conditions.
99,15,1,Kyle Broflovski,We didn't read them!
100,15,1,Guard,Heh! Riiight. Who just agrees to something they don't read? [slides the steel window closed]
101,15,1,Announcer,"And now, the president of Apple, Steve Jobs! [Jobs walks onstage as the audience applauds, waves, and stops on his mark]"
